filename,width,height,class,xmin,ymin,xmax,ymax
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,272,373,284,380
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,273,84,280,110
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,147,143,153,161
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,108,151,113,173
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,244,7,250,29
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,113,183,118,202
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,89,191,98,210
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,155,201,161,214
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,173,208,180,217
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,150,215,160,224
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,183,214,193,227
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,pollenbee,77,245,86,262
Beehive-3-14-2022-2_47_11pm_mp4-32_jpg.rf.63083bb0ed02ee451c79e0b73e0a5d10.jpg,384,384,bee,113,256,122,270
